date,time,username,diggCount,text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
2025-07-17,02:38:00,henny.nur,1,"kang parkir mbatu makmur kabeh uripe, kaet ndekek pedah sumpritane wes muni😂",kang parkir mbatu makmur kabeh uripe kaet ndekek pedah sumpritane wes muni,kang parkir mbatu makmur kabeh uripe kaet ndekek pedah sumpritane wes muni,kang parkir mbatu makmur kabeh uripe kaet ndekek pedah sumpritane wes muni,"['kang', 'parkir', 'mbatu', 'makmur', 'kabeh', 'uripe', 'kaet', 'ndekek', 'pedah', 'sumpritane', 'wes', 'muni']","['kang', 'parkir', 'mbatu', 'makmur', 'kabeh', 'uripe', 'kaet', 'ndekek', 'pedah', 'sumpritane', 'wes', 'muni']",kang parkir mbatu makmur kabeh uripe kaet ndekek dah sumpritane wes muni
2025-07-16,12:26:00,imronsyaroni0,12,aku parkir gak tau oleh karcis,aku parkir gak tau oleh karcis,aku parkir gak tau oleh karcis,aku parkir tidak tau oleh karcis,"['aku', 'parkir', 'tidak', 'tau', 'oleh', 'karcis']","['parkir', 'tau', 'karcis']",parkir tau karcis
2025-07-16,12:47:00,m.a.h.a.r.i.s.k.a,2,"lek rame2 parkir dadi 3000,, dikek i karcis gak ditulisi nopol ehh tibak e karcis e digae maneh nang sepeda lain e..",lek rame parkir dadi  dikek i karcis gak ditulisi nopol ehh tibak e karcis e digae maneh nang sepeda lain e,lek rame parkir dadi  dikek i karcis gak ditulisi nopol ehh tibak e karcis e digae maneh nang sepeda lain e,lek rame parkir dadi dikek i karcis tidak ditulisi nopol eh tibak e karcis e digae maneh nang sepeda lain e,"['lek', 'rame', 'parkir', 'dadi', 'dikek', 'i', 'karcis', 'tidak', 'ditulisi', 'nopol', 'eh', 'tibak', 'e', 'karcis', 'e', 'digae', 'maneh', 'nang', 'sepeda', 'lain', 'e']","['lek', 'rame', 'parkir', 'dadi', 'dikek', 'i', 'karcis', 'ditulisi', 'nopol', 'eh', 'tibak', 'e', 'karcis', 'e', 'digae', 'maneh', 'nang', 'sepeda', 'e']",lek rame parkir dadi kek i karcis tulis nopol eh tibak e karcis e digae maneh nang sepeda e
2025-07-16,06:06:00,rimaramlan,11,sy jg heran knp di segala penjuru tmp pasti ada parkir di kota batu .. sy klo ke batu mau beli apa2 pasti parkir 5 sampai 6 kali,sy jg heran knp di segala penjuru tmp pasti ada parkir di kota batu  sy klo ke batu mau beli apa pasti parkir  sampai  kali,sy jg heran knp di segala penjuru tmp pasti ada parkir di kota batu  sy klo ke batu mau beli apa pasti parkir  sampai  kali,saya juga heran kenapa di segala penjuru tmp pasti ada parkir di kota batu saya kalau ke batu mau beli apa pasti parkir sampai kali,"['saya', 'juga', 'heran', 'kenapa', 'di', 'segala', 'penjuru', 'tmp', 'pasti', 'ada', 'parkir', 'di', 'kota', 'batu', 'saya', 'kalau', 'ke', 'batu', 'mau', 'beli', 'apa', 'pasti', 'parkir', 'sampai', 'kali']","['heran', 'penjuru', 'tmp', 'parkir', 'kota', 'batu', 'batu', 'beli', 'parkir', 'kali']",heran penjuru tmp parkir kota batu batu beli parkir kali
2025-07-16,18:54:00,poyedane,4,batu butuh zona bebas parkir,batu butuh zona bebas parkir,batu butuh zona bebas parkir,batu butuh zona bebas parkir,"['batu', 'butuh', 'zona', 'bebas', 'parkir']","['batu', 'butuh', 'zona', 'bebas', 'parkir']",batu butuh zona bebas parkir
2025-07-16,10:29:00,hnaviary7,4,"alah...ndk pasar ae gk ono seng noto parkire gara2 diganti gate, biyen blonjo ono seng nulung natakno blonjoan ngetokno sepeda, sak iki....",alahndk pasar ae gk ono seng noto parkire gara diganti gate biyen blonjo ono seng nulung natakno blonjoan ngetokno sepeda sak iki,alahndk pasar ae gk ono seng noto parkire gara diganti gate biyen blonjo ono seng nulung natakno blonjoan ngetokno sepeda sak iki,alahndk pasar saja tidak sono seng noto parkire gara diganti gate biyen blonjo sono seng nulung natakno blonjoan ngetokno sepeda sak iki,"['alahndk', 'pasar', 'saja', 'tidak', 'sono', 'seng', 'noto', 'parkire', 'gara', 'diganti', 'gate', 'biyen', 'blonjo', 'sono', 'seng', 'nulung', 'natakno', 'blonjoan', 'ngetokno', 'sepeda', 'sak', 'iki']","['alahndk', 'pasar', 'sono', 'seng', 'noto', 'parkire', 'gara', 'diganti', 'gate', 'biyen', 'blonjo', 'sono', 'seng', 'nulung', 'natakno', 'blonjoan', 'ngetokno', 'sepeda', 'sak', 'iki']",alahndk pasar sono seng noto parkire gara ganti gate biyen blonjo sono seng nulung natakno blonjoan ngetokno sepeda sak iki
2025-07-16,16:03:00,rickyscoot_1,1,parkir pasar isuk se sg repot 🗿,parkir pasar isuk se sg repot ,parkir pasar isuk se sg repot ,parkir pasar isuk se sg repot,"['parkir', 'pasar', 'isuk', 'se', 'sg', 'repot']","['parkir', 'pasar', 'isuk', 'sg', 'repot']",parkir pasar isuk sg repot
2025-07-16,10:32:00,anisssetyawati,5,ATM BCA batu yg di perempat alun2 itu parkinya di pinggir jalan 🤭,ATM BCA batu yg di perempat alun itu parkinya di pinggir jalan ,atm bca batu yg di perempat alun itu parkinya di pinggir jalan ,atm baca batu yang di perempat alun itu parkinya di pinggir jalan,"['atm', 'baca', 'batu', 'yang', 'di', 'perempat', 'alun', 'itu', 'parkinya', 'di', 'pinggir', 'jalan']","['atm', 'baca', 'batu', 'perempat', 'alun', 'parkinya', 'pinggir', 'jalan']",atm baca batu empat alun parkinya pinggir jalan
2025-07-16,05:43:00,kebunpakhasan,4,batu kota ku nemen soal parkir kabeh kabeh parkir.,batu kota ku nemen soal parkir kabeh kabeh parkir,batu kota ku nemen soal parkir kabeh kabeh parkir,batu kota ku nemen soal parkir kabeh kabeh parkir,"['batu', 'kota', 'ku', 'nemen', 'soal', 'parkir', 'kabeh', 'kabeh', 'parkir']","['batu', 'kota', 'ku', 'nemen', 'parkir', 'kabeh', 'kabeh', 'parkir']",batu kota ku nemen parkir kabeh kabeh parkir
2025-07-16,14:18:00,azamrescu,1,yg lebih faham dishub karna parkir nya gak sesuai dari papan yg sudah ada😁😁😁😁😁,yg lebih faham dishub karna parkir nya gak sesuai dari papan yg sudah ada,yg lebih faham dishub karna parkir nya gak sesuai dari papan yg sudah ada,yang lebih faham dishub karena parkir ya tidak sesuai dari papan yang sudah ada,"['yang', 'lebih', 'faham', 'dishub', 'karena', 'parkir', 'ya', 'tidak', 'sesuai', 'dari', 'papan', 'yang', 'sudah', 'ada']","['faham', 'dishub', 'parkir', 'ya', 'sesuai', 'papan']",faham dishub parkir ya sesuai papan
2025-07-16,04:54:00,user10409678026563,1,"jalan"" pagi dl kl parkir sekitar alun"" tdk bayar,kl siang memang sdh bayar,sekarang msh pagi banyak orang"" ol gah diminta parkir",jalan pagi dl kl parkir sekitar alun tdk bayarkl siang memang sdh bayarsekarang msh pagi banyak orang ol gah diminta parkir,jalan pagi dl kl parkir sekitar alun tdk bayarkl siang memang sdh bayarsekarang msh pagi banyak orang ol gah diminta parkir,jalan pagi dulu kalau parkir sekitar alun tidak bayarkl siang memang sudah bayarsekarang masih pagi banyak orang ol gah diminta parkir,"['jalan', 'pagi', 'dulu', 'kalau', 'parkir', 'sekitar', 'alun', 'tidak', 'bayarkl', 'siang', 'memang', 'sudah', 'bayarsekarang', 'masih', 'pagi', 'banyak', 'orang', 'ol', 'gah', 'diminta', 'parkir']","['jalan', 'pagi', 'parkir', 'alun', 'bayarkl', 'siang', 'bayarsekarang', 'pagi', 'orang', 'ol', 'gah', 'parkir']",jalan pagi parkir alun bayarkl siang bayarsekarang pagi orang ol gah parkir
2025-07-16,08:07:00,aurellya_luydra_martania,2,Parkir alun” batu 5k 😭,Parkir alun batu k ,parkir alun batu k ,parkir alun batu ke,"['parkir', 'alun', 'batu', 'ke']","['parkir', 'alun', 'batu']",parkir alun batu
2025-07-15,21:31:00,agusbrotol6,0,gate iku op e lor,gate iku op e lor,gate iku op e lor,gate iku op e lor,"['gate', 'iku', 'op', 'e', 'lor']","['gate', 'iku', 'op', 'e', 'lor']",gate iku op e lor
2025-07-16,18:25:00,sugiarno87,3,lebih baik tanpa parkir,lebih baik tanpa parkir,lebih baik tanpa parkir,lebih baik tanpa parkir,"['lebih', 'baik', 'tanpa', 'parkir']",['parkir'],parkir
2025-07-17,00:26:00,i.sherliaazh_,0,pernah iseng2 hitung tukang parkir disepanjang jalan diponegoro mulai dari apotik manfaat sampe lippo plaza ada total 20 tukang parkirr🥹 jadi tiapp berhenti ada kang parkirnyaaa,pernah iseng hitung tukang parkir disepanjang jalan diponegoro mulai dari apotik manfaat sampe lippo plaza ada total  tukang parkirr jadi tiapp berhenti ada kang parkirnyaaa,pernah iseng hitung tukang parkir disepanjang jalan diponegoro mulai dari apotik manfaat sampe lippo plaza ada total  tukang parkirr jadi tiapp berhenti ada kang parkirnyaaa,pernah iseng hitung tukang parkir disepanjang jalan diponegoro mulai dari apotik manfaat sampai lippo plaza ada total tukang parkirr jadi tiapp berhenti ada kang parkirnyaaa,"['pernah', 'iseng', 'hitung', 'tukang', 'parkir', 'disepanjang', 'jalan', 'diponegoro', 'mulai', 'dari', 'apotik', 'manfaat', 'sampai', 'lippo', 'plaza', 'ada', 'total', 'tukang', 'parkirr', 'jadi', 'tiapp', 'berhenti', 'ada', 'kang', 'parkirnyaaa']","['iseng', 'hitung', 'tukang', 'parkir', 'disepanjang', 'jalan', 'diponegoro', 'apotik', 'manfaat', 'lippo', 'plaza', 'total', 'tukang', 'parkirr', 'tiapp', 'berhenti', 'kang', 'parkirnyaaa']",iseng hitung tukang parkir panjang jalan diponegoro apotik manfaat lippo plaza total tukang parkirr tiapp henti kang parkirnyaaa
2025-07-16,19:17:00,royalshoesbatu,0,jumainn,jumainn,jumainn,jumainn,['jumainn'],['jumainn'],jumainn
2025-07-17,10:26:00,susanrudi8,0,"kalau aku lebih suka parkir mbayar...sepedaku aman
aku nggak suka pake gate...nggak ono yg notono...nggak ada yg bantu...","kalau aku lebih suka parkir mbayarsepedaku aman
aku nggak suka pake gatenggak ono yg notononggak ada yg bantu","kalau aku lebih suka parkir mbayarsepedaku aman
aku nggak suka pake gatenggak ono yg notononggak ada yg bantu",kalau aku lebih suka parkir mbayarsepedaku aman aku tidak suka pakai gatenggak sono yang notononggak ada yang bantu,"['kalau', 'aku', 'lebih', 'suka', 'parkir', 'mbayarsepedaku', 'aman', 'aku', 'tidak', 'suka', 'pakai', 'gatenggak', 'sono', 'yang', 'notononggak', 'ada', 'yang', 'bantu']","['suka', 'parkir', 'mbayarsepedaku', 'aman', 'suka', 'pakai', 'gatenggak', 'sono', 'notononggak', 'bantu']",suka parkir mbayarsepedaku aman suka pakai gatenggak sono notononggak bantu
2025-07-16,11:05:00,hendrixchocyesav3,0,permainan pemerintah yg kurang dng. penghasilan ny untuk penuhi kebutuhan pribadi,permainan pemerintah yg kurang dng penghasilan ny untuk penuhi kebutuhan pribadi,permainan pemerintah yg kurang dng penghasilan ny untuk penuhi kebutuhan pribadi,permainan pemerintah yang kurang dengan penghasilan nya untuk penuhi kebutuhan pribadi,"['permainan', 'pemerintah', 'yang', 'kurang', 'dengan', 'penghasilan', 'nya', 'untuk', 'penuhi', 'kebutuhan', 'pribadi']","['permainan', 'pemerintah', 'penghasilan', 'nya', 'penuhi', 'kebutuhan', 'pribadi']",main perintah hasil nya penuh butuh pribadi
2025-07-17,07:48:00,yofeeva,0,takon dgn lembut yo dulur trs nasib e BTC iku yokpo luur ònok a sing iso nangani ndek kota BATU...suwon...,takon dgn lembut yo dulur trs nasib e BTC iku yokpo luur nok a sing iso nangani ndek kota BATUsuwon,takon dgn lembut yo dulur trs nasib e btc iku yokpo luur nok a sing iso nangani ndek kota batusuwon,takon dengan lembut ya dulur terus nasib e btc iku yokpo luur nok a sing iso nangani ndek kota batusuwon,"['takon', 'dengan', 'lembut', 'ya', 'dulur', 'terus', 'nasib', 'e', 'btc', 'iku', 'yokpo', 'luur', 'nok', 'a', 'sing', 'iso', 'nangani', 'ndek', 'kota', 'batusuwon']","['takon', 'lembut', 'ya', 'dulur', 'nasib', 'e', 'btc', 'iku', 'yokpo', 'luur', 'nok', 'a', 'sing', 'iso', 'nangani', 'ndek', 'kota', 'batusuwon']",takon lembut ya dulur nasib e btc iku yokpo luur nok a sing iso nangani ndek kota batusuwon
2025-07-16,11:43:00,deeana_17,0,hasil e gmn??,hasil e gmn,hasil e gmn,hasil e bagaimana,"['hasil', 'e', 'bagaimana']","['hasil', 'e']",hasil e
2025-07-18,12:27:00,chachaaku,0,"ngene a wes gapopo ganok parkir tapi lek pedah ilang gaiso njaluk tanggung jwab nang sopo sopo,wong nde kne sembarang"" ae iso ilang lek ganok seng njogo pora tambah leluasa😭",ngene a wes gapopo ganok parkir tapi lek pedah ilang gaiso njaluk tanggung jwab nang sopo sopowong nde kne sembarang ae iso ilang lek ganok seng njogo pora tambah leluasa,ngene a wes gapopo ganok parkir tapi lek pedah ilang gaiso njaluk tanggung jwab nang sopo sopowong nde kne sembarang ae iso ilang lek ganok seng njogo pora tambah leluasa,ngene a wes gapopo ganok parkir tapi lek pedah hilang gaiso njaluk tanggung jawab nang sopo sopowong nde kne sembarang saja iso hilang lek ganok seng njogo pora tambah leluasa,"['ngene', 'a', 'wes', 'gapopo', 'ganok', 'parkir', 'tapi', 'lek', 'pedah', 'hilang', 'gaiso', 'njaluk', 'tanggung', 'jawab', 'nang', 'sopo', 'sopowong', 'nde', 'kne', 'sembarang', 'saja', 'iso', 'hilang', 'lek', 'ganok', 'seng', 'njogo', 'pora', 'tambah', 'leluasa']","['ngene', 'a', 'wes', 'gapopo', 'ganok', 'parkir', 'lek', 'pedah', 'hilang', 'gaiso', 'njaluk', 'tanggung', 'nang', 'sopo', 'sopowong', 'nde', 'kne', 'sembarang', 'iso', 'hilang', 'lek', 'ganok', 'seng', 'njogo', 'pora', 'leluasa']",ngene a wes gapopo ganok parkir lek dah hilang gaiso njaluk tanggung nang sopo sopowong nde kne sembarang iso hilang lek ganok seng njogo pora leluasa
2025-07-17,15:41:00,tukilahsaja547,0,"Di mana"" Parkir Ruwet Spalagi kakau ada Acata Karnapal Kena Gendam, Parkir Aja Untuk Sepeda Motor 10Ribu sampai 15 Ribu . Anggota Karnapal pun juga sa",Di mana Parkir Ruwet Spalagi kakau ada Acata Karnapal Kena Gendam Parkir Aja Untuk Sepeda Motor Ribu sampai  Ribu  Anggota Karnapal pun juga sa,di mana parkir ruwet spalagi kakau ada acata karnapal kena gendam parkir aja untuk sepeda motor ribu sampai  ribu  anggota karnapal pun juga sa,di mana parkir ruwet spalagi kalau ada acata karnapal kena gendam parkir saja untuk sepeda motor ribu sampai ribu anggota karnapal pun juga sa,"['di', 'mana', 'parkir', 'ruwet', 'spalagi', 'kalau', 'ada', 'acata', 'karnapal', 'kena', 'gendam', 'parkir', 'saja', 'untuk', 'sepeda', 'motor', 'ribu', 'sampai', 'ribu', 'anggota', 'karnapal', 'pun', 'juga', 'sa']","['parkir', 'ruwet', 'spalagi', 'acata', 'karnapal', 'kena', 'gendam', 'parkir', 'sepeda', 'motor', 'ribu', 'ribu', 'anggota', 'karnapal', 'sa']",parkir ruwet spalagi acata karnapal kena gendam parkir sepeda motor ribu ribu anggota karnapal sa
2025-07-16,20:28:00,afhiklmnoru,0,"just story : aku sengojo nunggoni pedah ndk parkiran pas ngancani nyopee, lha kok mbi tukang parkir.e aku kon ngaleh, jare kate gae markirno mobil, padahal iku parkiran gae sepeda motor.😌 dan iku sik ombo banget...",just story  aku sengojo nunggoni pedah ndk parkiran pas ngancani nyopee lha kok mbi tukang parkire aku kon ngaleh jare kate gae markirno mobil padahal iku parkiran gae sepeda motor dan iku sik ombo banget,just story  aku sengojo nunggoni pedah ndk parkiran pas ngancani nyopee lha kok mbi tukang parkire aku kon ngaleh jare kate gae markirno mobil padahal iku parkiran gae sepeda motor dan iku sik ombo banget,just story aku sengojo nunggoni pedah ndk parkiran pas ngancani nyopee lah kok mbi tukang parkire aku kon ngaleh jare kata gae markirno mobil padahal iku parkiran gae sepeda motor dan iku sik ombo banget,"['just', 'story', 'aku', 'sengojo', 'nunggoni', 'pedah', 'ndk', 'parkiran', 'pas', 'ngancani', 'nyopee', 'lah', 'kok', 'mbi', 'tukang', 'parkire', 'aku', 'kon', 'ngaleh', 'jare', 'kata', 'gae', 'markirno', 'mobil', 'padahal', 'iku', 'parkiran', 'gae', 'sepeda', 'motor', 'dan', 'iku', 'sik', 'ombo', 'banget']","['just', 'story', 'sengojo', 'nunggoni', 'pedah', 'ndk', 'parkiran', 'pas', 'ngancani', 'nyopee', 'mbi', 'tukang', 'parkire', 'kon', 'ngaleh', 'jare', 'gae', 'markirno', 'mobil', 'iku', 'parkiran', 'gae', 'sepeda', 'motor', 'iku', 'sik', 'ombo', 'banget']",just story sengojo nunggoni dah ndk parkir pas ngancani nyopee mbi tukang parkire kon ngaleh jare gae markirno mobil iku parkir gae sepeda motor iku sik ombo banget
2025-07-16,08:24:00,ibu_canna,0,"saya tanya pak, kenapa kartu parkirnya diminta lagi pak? padahal gk d tulis no plat saya",saya tanya pak kenapa kartu parkirnya diminta lagi pak padahal gk d tulis no plat saya,saya tanya pak kenapa kartu parkirnya diminta lagi pak padahal gk d tulis no plat saya,saya tanya pak kenapa kartu parkirnya diminta lagi pak padahal tidak di tulis no plat saya,"['saya', 'tanya', 'pak', 'kenapa', 'kartu', 'parkirnya', 'diminta', 'lagi', 'pak', 'padahal', 'tidak', 'di', 'tulis', 'no', 'plat', 'saya']","['kartu', 'parkirnya', 'tulis', 'no', 'plat']",kartu parkir tulis no plat
2025-06-03,20:10:00,oktevabusokte,0,visi dan misi,visi dan misi,visi dan misi,visi dan misi,"['visi', 'dan', 'misi']","['visi', 'misi']",visi misi
2025-05-25,12:52:00,hari88577,2,tolong pak sampa di jalan Metro banyak di pinggir jalan🙏🏽🙏🏽,tolong pak sampa di jalan Metro banyak di pinggir jalan,tolong pak sampa di jalan metro banyak di pinggir jalan,tolong pak sampa di jalan metro banyak di pinggir jalan,"['tolong', 'pak', 'sampa', 'di', 'jalan', 'metro', 'banyak', 'di', 'pinggir', 'jalan']","['tolong', 'sampa', 'jalan', 'metro', 'pinggir', 'jalan']",tolong sampa jalan metro pinggir jalan
