date,time,username,diggCount,text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data,clean_text
2025-07-17,02:38:00,henny.nur,1,"tukang parkir batu makmur semua hidupnya, sejak naruh motor peluitnya udah di bunyikan😂",tukang parkir batu makmur semua hidupnya sejak naruh motor peluitnya udah di bunyikan,tukang parkir batu makmur semua hidupnya sejak naruh motor peluitnya udah di bunyikan,tukang parkir batu makmur semua hidupnya sejak naruh motor peluitnya sudah di bunyikan,"['tukang', 'parkir', 'batu', 'makmur', 'semua', 'hidupnya', 'sejak', 'naruh', 'motor', 'peluitnya', 'sudah', 'di', 'bunyikan']","['tukang', 'parkir', 'batu', 'makmur', 'hidupnya', 'naruh', 'motor', 'peluitnya', 'bunyikan']",tukang parkir batu makmur hidup naruh motor peluit bunyi,tukang parkir batu makmur semua hidupnya sejak naruh motor peluitnya udah di bunyikan
2025-07-16,12:26:00,imronsyaroni0,12,aku parkir gak pernah dapat karcis,aku parkir gak pernah dapat karcis,aku parkir gak pernah dapat karcis,aku parkir tidak pernah dapat karcis,"['aku', 'parkir', 'tidak', 'pernah', 'dapat', 'karcis']","['parkir', 'karcis']",parkir karcis,aku parkir gak pernah dapat karcis
2025-07-16,12:47:00,m.a.h.a.r.i.s.k.a,2,"kalo rame2 parkir dadi 3000,, dikasi i karcis gak ditulisi nopol ehh ternyata karcisnya dipakai lagi disepeda lain e..",kalo rame parkir dadi  dikasi i karcis gak ditulisi nopol ehh ternyata karcisnya dipakai lagi disepeda lain e,kalo rame parkir dadi  dikasi i karcis gak ditulisi nopol ehh ternyata karcisnya dipakai lagi disepeda lain e,kalau rame parkir dadi dikasi i karcis tidak ditulisi nopol eh ternyata karcisnya dipakai lagi disepeda lain e,"['kalau', 'rame', 'parkir', 'dadi', 'dikasi', 'i', 'karcis', 'tidak', 'ditulisi', 'nopol', 'eh', 'ternyata', 'karcisnya', 'dipakai', 'lagi', 'disepeda', 'lain', 'e']","['rame', 'parkir', 'dadi', 'dikasi', 'i', 'karcis', 'ditulisi', 'nopol', 'eh', 'karcisnya', 'dipakai', 'disepeda', 'e']",rame parkir dadi kasi i karcis tulis nopol eh karcis pakai sepeda e,kalo rame parkir dadi dikasi i karcis gak ditulisi nopol ehh ternyata karcisnya dipakai lagi disepeda lain e
2025-07-16,06:06:00,rimaramlan,11,saya juga heran kenapa disegala penjuru tempat pasti ada parkir di kota batu .. saya kalo ke batu mau beli apa-apa pasti parkir 5 sampai 6 kali,saya juga heran kenapa disegala penjuru tempat pasti ada parkir di kota batu  saya kalo ke batu mau beli apaapa pasti parkir  sampai  kali,saya juga heran kenapa disegala penjuru tempat pasti ada parkir di kota batu  saya kalo ke batu mau beli apaapa pasti parkir  sampai  kali,saya juga heran kenapa disegala penjuru tempat pasti ada parkir di kota batu saya kalau ke batu mau beli apaapa pasti parkir sampai kali,"['saya', 'juga', 'heran', 'kenapa', 'disegala', 'penjuru', 'tempat', 'pasti', 'ada', 'parkir', 'di', 'kota', 'batu', 'saya', 'kalau', 'ke', 'batu', 'mau', 'beli', 'apaapa', 'pasti', 'parkir', 'sampai', 'kali']","['heran', 'disegala', 'penjuru', 'parkir', 'kota', 'batu', 'batu', 'beli', 'apaapa', 'parkir', 'kali']",heran segala penjuru parkir kota batu batu beli apaapa parkir kali,saya juga heran kenapa disegala penjuru tempat pasti ada parkir di kota batu saya kalo ke batu mau beli apaapa pasti parkir sampai kali
2025-07-16,18:54:00,poyedane,4,batu butuh zona bebas parkir,batu butuh zona bebas parkir,batu butuh zona bebas parkir,batu butuh zona bebas parkir,"['batu', 'butuh', 'zona', 'bebas', 'parkir']","['batu', 'butuh', 'zona', 'bebas', 'parkir']",batu butuh zona bebas parkir,batu butuh zona bebas parkir
2025-07-16,10:29:00,hnaviary7,4,"alah...di pasar ae tidak ada yang menata parkir gara-gara ganti gate, dulu belanja ada yang bantu nata belanjaan dan ngeluarinmotor, sekarang....",alahdi pasar ae tidak ada yang menata parkir garagara ganti gate dulu belanja ada yang bantu nata belanjaan dan ngeluarinmotor sekarang,alahdi pasar ae tidak ada yang menata parkir garagara ganti gate dulu belanja ada yang bantu nata belanjaan dan ngeluarinmotor sekarang,alahdi pasar saja tidak ada yang menata parkir garagara ganti gate dulu belanja ada yang bantu nata belanjaan dan ngeluarinmotor sekarang,"['alahdi', 'pasar', 'saja', 'tidak', 'ada', 'yang', 'menata', 'parkir', 'garagara', 'ganti', 'gate', 'dulu', 'belanja', 'ada', 'yang', 'bantu', 'nata', 'belanjaan', 'dan', 'ngeluarinmotor', 'sekarang']","['alahdi', 'pasar', 'menata', 'parkir', 'garagara', 'ganti', 'gate', 'belanja', 'bantu', 'nata', 'belanjaan', 'ngeluarinmotor']",alahdi pasar tata parkir garagara ganti gate belanja bantu nata belanja ngeluarinmotor,alahdi pasar ae tidak ada yang menata parkir garagara ganti gate dulu belanja ada yang bantu nata belanjaan dan ngeluarinmotor sekarang
2025-07-16,16:03:00,rickyscoot_1,1,parkir pasar pagi se yang repot 🗿,parkir pasar pagi se yang repot ,parkir pasar pagi se yang repot ,parkir pasar pagi se yang repot,"['parkir', 'pasar', 'pagi', 'se', 'yang', 'repot']","['parkir', 'pasar', 'pagi', 'repot']",parkir pasar pagi repot,parkir pasar pagi se yang repot
2025-07-16,10:32:00,anisssetyawati,5,ATM BCA batu yg di perempat alun2 itu parkinya di pinggir jalan 🤭,ATM BCA batu yg di perempat alun itu parkinya di pinggir jalan ,atm bca batu yg di perempat alun itu parkinya di pinggir jalan ,atm baca batu yang di perempat alun itu parkinya di pinggir jalan,"['atm', 'baca', 'batu', 'yang', 'di', 'perempat', 'alun', 'itu', 'parkinya', 'di', 'pinggir', 'jalan']","['atm', 'baca', 'batu', 'perempat', 'alun', 'parkinya', 'pinggir', 'jalan']",atm baca batu empat alun parkinya pinggir jalan,atm bca batu yg di perempat alun itu parkinya di pinggir jalan
2025-07-16,05:43:00,kebunpakhasan,4,batu kota ku parah soal parkir semuanya parkir.,batu kota ku parah soal parkir semuanya parkir,batu kota ku parah soal parkir semuanya parkir,batu kota ku parah soal parkir semuanya parkir,"['batu', 'kota', 'ku', 'parah', 'soal', 'parkir', 'semuanya', 'parkir']","['batu', 'kota', 'ku', 'parah', 'parkir', 'parkir']",batu kota ku parah parkir parkir,batu kota ku parah soal parkir semuanya parkir
2025-07-16,14:18:00,azamrescu,1,yang lebih paham dishub karna parkir nya tidak sesuai dari papan yang sudah ada😁😁😁😁😁,yang lebih paham dishub karna parkir nya tidak sesuai dari papan yang sudah ada,yang lebih paham dishub karna parkir nya tidak sesuai dari papan yang sudah ada,yang lebih paham dishub karena parkir ya tidak sesuai dari papan yang sudah ada,"['yang', 'lebih', 'paham', 'dishub', 'karena', 'parkir', 'ya', 'tidak', 'sesuai', 'dari', 'papan', 'yang', 'sudah', 'ada']","['paham', 'dishub', 'parkir', 'ya', 'sesuai', 'papan']",paham dishub parkir ya sesuai papan,yang lebih paham dishub karna parkir nya tidak sesuai dari papan yang sudah ada
2025-07-16,04:54:00,user10409678026563,1,"jalan-jalan pagi dulu kalo parkir sekitar alun-alun tidak bayar, kalo siang memang sudah bayar, sekarang masih pagi banyak orang-orang diminta parkir",jalanjalan pagi dulu kalo parkir sekitar alunalun tidak bayar kalo siang memang sudah bayar sekarang masih pagi banyak orangorang diminta parkir,jalanjalan pagi dulu kalo parkir sekitar alunalun tidak bayar kalo siang memang sudah bayar sekarang masih pagi banyak orangorang diminta parkir,jalanjalan pagi dulu kalau parkir sekitar alunalun tidak bayar kalau siang memang sudah bayar sekarang masih pagi banyak orangorang diminta parkir,"['jalanjalan', 'pagi', 'dulu', 'kalau', 'parkir', 'sekitar', 'alunalun', 'tidak', 'bayar', 'kalau', 'siang', 'memang', 'sudah', 'bayar', 'sekarang', 'masih', 'pagi', 'banyak', 'orangorang', 'diminta', 'parkir']","['jalanjalan', 'pagi', 'parkir', 'alunalun', 'bayar', 'siang', 'bayar', 'pagi', 'orangorang', 'parkir']",jalanjalan pagi parkir alunalun bayar siang bayar pagi orangorang parkir,jalanjalan pagi dulu kalo parkir sekitar alunalun tidak bayar kalo siang memang sudah bayar sekarang masih pagi banyak orangorang diminta parkir
2025-07-16,08:07:00,aurellya_luydra_martania,2,Parkir alun-alun batu 5k 😭,Parkir alunalun batu k ,parkir alunalun batu k ,parkir alunalun batu ke,"['parkir', 'alunalun', 'batu', 'ke']","['parkir', 'alunalun', 'batu']",parkir alunalun batu,parkir alunalun batu k
2025-07-15,21:31:00,agusbrotol6,0,gate itu apa e guys,gate itu apa e guys,gate itu apa e guys,gate itu apa e guys,"['gate', 'itu', 'apa', 'e', 'guys']","['gate', 'e', 'guys']",gate e guys,gate itu apa e guys
2025-07-16,18:25:00,sugiarno87,3,lebih baik tanpa parkir,lebih baik tanpa parkir,lebih baik tanpa parkir,lebih baik tanpa parkir,"['lebih', 'baik', 'tanpa', 'parkir']",['parkir'],parkir,lebih baik tanpa parkir
2025-07-17,00:26:00,i.sherliaazh_,0,pernah iseng2 hitung tukang parkir disepanjang jalan diponegoro mulai dari apotik manfaat sampe lippo plaza ada total 20 tukang parkirr🥹 jadi tiap berhenti ada kang parkirnya,pernah iseng hitung tukang parkir disepanjang jalan diponegoro mulai dari apotik manfaat sampe lippo plaza ada total  tukang parkirr jadi tiap berhenti ada kang parkirnya,pernah iseng hitung tukang parkir disepanjang jalan diponegoro mulai dari apotik manfaat sampe lippo plaza ada total  tukang parkirr jadi tiap berhenti ada kang parkirnya,pernah iseng hitung tukang parkir disepanjang jalan diponegoro mulai dari apotik manfaat sampai lippo plaza ada total tukang parkirr jadi tiap berhenti ada kang parkirnya,"['pernah', 'iseng', 'hitung', 'tukang', 'parkir', 'disepanjang', 'jalan', 'diponegoro', 'mulai', 'dari', 'apotik', 'manfaat', 'sampai', 'lippo', 'plaza', 'ada', 'total', 'tukang', 'parkirr', 'jadi', 'tiap', 'berhenti', 'ada', 'kang', 'parkirnya']","['iseng', 'hitung', 'tukang', 'parkir', 'disepanjang', 'jalan', 'diponegoro', 'apotik', 'manfaat', 'lippo', 'plaza', 'total', 'tukang', 'parkirr', 'berhenti', 'kang', 'parkirnya']",iseng hitung tukang parkir panjang jalan diponegoro apotik manfaat lippo plaza total tukang parkirr henti kang parkir,pernah iseng hitung tukang parkir disepanjang jalan diponegoro mulai dari apotik manfaat sampe lippo plaza ada total tukang parkirr jadi tiap berhenti ada kang parkirnya
2025-07-16,19:17:00,royalshoesbatu,0,jumainn,jumainn,jumainn,jumainn,['jumainn'],['jumainn'],jumainn,jumainn
2025-07-17,10:26:00,susanrudi8,0,kalau aku lebih suka parkir mbayar...sepedaku aman aku tidak suka pake gate...tidak ada yang nata... tidak ada yang bantu...,kalau aku lebih suka parkir mbayarsepedaku aman aku tidak suka pake gatetidak ada yang nata tidak ada yang bantu,kalau aku lebih suka parkir mbayarsepedaku aman aku tidak suka pake gatetidak ada yang nata tidak ada yang bantu,kalau aku lebih suka parkir mbayarsepedaku aman aku tidak suka pakai gatetidak ada yang nata tidak ada yang bantu,"['kalau', 'aku', 'lebih', 'suka', 'parkir', 'mbayarsepedaku', 'aman', 'aku', 'tidak', 'suka', 'pakai', 'gatetidak', 'ada', 'yang', 'nata', 'tidak', 'ada', 'yang', 'bantu']","['suka', 'parkir', 'mbayarsepedaku', 'aman', 'suka', 'pakai', 'gatetidak', 'nata', 'bantu']",suka parkir mbayarsepedaku aman suka pakai gatetidak nata bantu,kalau aku lebih suka parkir mbayarsepedaku aman aku tidak suka pake gatetidak ada yang nata tidak ada yang bantu
2025-07-16,11:05:00,hendrixchocyesav3,0,permainan pemerintah yang kurang dana. penghasilannya untuk penuhi kebutuhan pribadi,permainan pemerintah yang kurang dana penghasilannya untuk penuhi kebutuhan pribadi,permainan pemerintah yang kurang dana penghasilannya untuk penuhi kebutuhan pribadi,permainan pemerintah yang kurang dana penghasilannya untuk penuhi kebutuhan pribadi,"['permainan', 'pemerintah', 'yang', 'kurang', 'dana', 'penghasilannya', 'untuk', 'penuhi', 'kebutuhan', 'pribadi']","['permainan', 'pemerintah', 'dana', 'penghasilannya', 'penuhi', 'kebutuhan', 'pribadi']",main perintah dana hasil penuh butuh pribadi,permainan pemerintah yang kurang dana penghasilannya untuk penuhi kebutuhan pribadi
2025-07-17,07:48:00,yofeeva,0,"tanya dengan lembut ya teman-teman, terus nasib BTC itu gimana ada a yang bisa nangani di kota BATU...suwon...",tanya dengan lembut ya temanteman terus nasib BTC itu gimana ada a yang bisa nangani di kota BATUsuwon,tanya dengan lembut ya temanteman terus nasib btc itu gimana ada a yang bisa nangani di kota batusuwon,tanya dengan lembut ya temanteman terus nasib btc itu bagaimana ada a yang bisa nangani di kota batusuwon,"['tanya', 'dengan', 'lembut', 'ya', 'temanteman', 'terus', 'nasib', 'btc', 'itu', 'bagaimana', 'ada', 'a', 'yang', 'bisa', 'nangani', 'di', 'kota', 'batusuwon']","['lembut', 'ya', 'temanteman', 'nasib', 'btc', 'a', 'nangani', 'kota', 'batusuwon']",lembut ya temanteman nasib btc a nangani kota batusuwon,tanya dengan lembut ya temanteman terus nasib btc itu gimana ada a yang bisa nangani di kota batusuwon
2025-07-16,11:43:00,deeana_17,0,hasil e gimana??,hasil e gimana,hasil e gimana,hasil e bagaimana,"['hasil', 'e', 'bagaimana']","['hasil', 'e']",hasil e,hasil e gimana
2025-07-18,12:27:00,chachaaku,0,"gini a sudah tidak apa-apa tidak ada parkir tapi kalo sepedah hilang tidak bisa minta tanggung jawab ke siapa-siapa, orang disini aja sembarangan aja bisa hilang kalo gaada yang jaga apa tidak tambah leluasa😭",gini a sudah tidak apaapa tidak ada parkir tapi kalo sepedah hilang tidak bisa minta tanggung jawab ke siapasiapa orang disini aja sembarangan aja bisa hilang kalo gaada yang jaga apa tidak tambah leluasa,gini a sudah tidak apaapa tidak ada parkir tapi kalo sepedah hilang tidak bisa minta tanggung jawab ke siapasiapa orang disini aja sembarangan aja bisa hilang kalo gaada yang jaga apa tidak tambah leluasa,begini a sudah tidak apaapa tidak ada parkir tapi kalau sepedah hilang tidak bisa meminta tanggung jawab ke siapasiapa orang disini saja sembarangan saja bisa hilang kalau yang jaga apa tidak tambah leluasa,"['begini', 'a', 'sudah', 'tidak', 'apaapa', 'tidak', 'ada', 'parkir', 'tapi', 'kalau', 'sepedah', 'hilang', 'tidak', 'bisa', 'meminta', 'tanggung', 'jawab', 'ke', 'siapasiapa', 'orang', 'disini', 'saja', 'sembarangan', 'saja', 'bisa', 'hilang', 'kalau', 'yang', 'jaga', 'apa', 'tidak', 'tambah', 'leluasa']","['a', 'apaapa', 'parkir', 'sepedah', 'hilang', 'tanggung', 'siapasiapa', 'orang', 'sembarangan', 'hilang', 'jaga', 'leluasa']",a apaapa parkir dah hilang tanggung siapasiapa orang sembarang hilang jaga leluasa,gini a sudah tidak apaapa tidak ada parkir tapi kalo sepedah hilang tidak bisa minta tanggung jawab ke siapasiapa orang disini aja sembarangan aja bisa hilang kalo gaada yang jaga apa tidak tambah leluasa
2025-07-17,15:41:00,tukilahsaja547,0,"Di mana"" Parkir Ruwet apalagi kalau ada Acara Karnapal Kena Gendam, Parkir Aja Untuk Sepeda Motor 10Ribu sampai 15 Ribu . Anggota Karnapal pun juga sama",Di mana Parkir Ruwet apalagi kalau ada Acara Karnapal Kena Gendam Parkir Aja Untuk Sepeda Motor Ribu sampai  Ribu  Anggota Karnapal pun juga sama,di mana parkir ruwet apalagi kalau ada acara karnapal kena gendam parkir aja untuk sepeda motor ribu sampai  ribu  anggota karnapal pun juga sama,di mana parkir ruwet apalagi kalau ada acara karnapal kena gendam parkir saja untuk sepeda motor ribu sampai ribu anggota karnapal pun juga sama,"['di', 'mana', 'parkir', 'ruwet', 'apalagi', 'kalau', 'ada', 'acara', 'karnapal', 'kena', 'gendam', 'parkir', 'saja', 'untuk', 'sepeda', 'motor', 'ribu', 'sampai', 'ribu', 'anggota', 'karnapal', 'pun', 'juga', 'sama']","['parkir', 'ruwet', 'acara', 'karnapal', 'kena', 'gendam', 'parkir', 'sepeda', 'motor', 'ribu', 'ribu', 'anggota', 'karnapal']",parkir ruwet acara karnapal kena gendam parkir sepeda motor ribu ribu anggota karnapal,di mana parkir ruwet apalagi kalau ada acara karnapal kena gendam parkir aja untuk sepeda motor ribu sampai ribu anggota karnapal pun juga sama
