date,time,username,diggCount,steming_data,Score,Sentiment
2025-07-16,04:54:00,user10409678026563,1,jalanjalan pagi parkir alunalun bayar siang bayar pagi orangorang parkir,2,Positif
2025-07-16,08:07:00,aurellya_luydra_martania,2,parkir alunalun batu,1,Positif
2025-07-15,21:31:00,agusbrotol6,0,gate e guys,1,Positif
2025-07-16,18:25:00,sugiarno87,3,parkir,1,Positif
2025-07-17,00:26:00,i.sherliaazh_,0,iseng hitung tukang parkir panjang jalan diponegoro apotik manfaat lippo plaza total tukang parkirr henti kang parkir,1,Positif
2025-07-16,19:17:00,royalshoesbatu,0,jumainn,0,Netral
2025-07-17,10:26:00,susanrudi8,0,suka parkir mbayarsepedaku aman suka pakai gatetidak nata bantu,1,Positif
2025-07-16,11:05:00,hendrixchocyesav3,0,main perintah dana hasil penuh butuh pribadi,1,Positif
2025-07-17,07:48:00,yofeeva,0,lembut ya temanteman nasib btc a nangani kota batusuwon,0,Netral
2025-07-16,11:43:00,deeana_17,0,hasil e,1,Positif
2025-07-18,12:27:00,chachaaku,0,a apaapa parkir dah hilang tanggung siapasiapa orang sembarang hilang jaga leluasa,-2,Negatif
2025-07-17,15:41:00,tukilahsaja547,0,parkir ruwet acara karnapal kena gendam parkir sepeda motor ribu ribu anggota karnapal,-1,Negatif
2025-07-16,20:28:00,afhiklmnoru,0,just story sengaja tunggu motor parkir tunggu ngopi tukang parkir e suruh pergi parkir mobil parkir sepeda motor luas banget,5,Positif
2025-07-16,08:24:00,ibu_canna,0,kartu parkir tulis no plat,1,Positif
2025-06-03,20:10:00,oktevabusokte,0,visi misi,1,Positif
2025-05-25,12:52:00,hari88577,2,tolong sampah jalan metro pinggir jalan,-2,Negatif
2025-05-24,09:55:00,user4214950745459,0,batu sae terima kasih nurohman heli,1,Positif
2025-05-23,21:04:00,kidjan4,1,sae,0,Netral
2025-05-22,12:48:00,andysutris,3,batu kerja susah,0,Netral
2025-05-22,12:47:00,alfi.cantika8,1,wali wakil tolong pintu gerbang kota wisata batu desa pendem tolong benah desa pendem pintu gerbang kota batu sae,-2,Negatif
2025-05-22,13:16:00,sch22066,1,buka lowong kerja warga batukarena kerja batu kerja mbatu,3,Positif
2025-06-03,20:10:00,oktevabusokte,0,semangat tingkat sinergi,1,Positif
2025-05-22,12:49:00,alfi.cantika8,0,benah update sentuh wali,0,Netral
2025-06-07,01:28:00,agushasanhawafi,1,senam matur suwon deh karwogus ipuldi pkh pujonbuah tangan purna tugas jatim saembois loop,1,Positif
2025-05-22,12:52:00,budenar25,1,semangat walikota moga batu saeaman tentram gemah ripah loh jawi salam santun,1,Positif
2025-03-05,11:11:00,adi.bethel,22,wali titip kendali alih lahan tani bangunandan apel ikon kota batu kelak cerita anak cucu selamat tugas sehat sukses wali,-1,Negatif
2025-03-05,09:00:00,cristy_wijayanti,5,info buka warga batu,-1,Negatif
2025-03-05,15:21:00,heeyyviitt,3,tolong pengelolahan sampahh kota batu atas keliling dah banget buang sampah sembarang ajar kabupaten banyumas kelola sampah bagus banget,-5,Negatif
2025-03-09,12:07:00,mutmainah3163,2,tolong tegak atur pasar sesuai zonasi campur kasihan jual lantai zona tutup kalah lantai,1,Positif
2025-03-11,04:40:00,soniavernandezendel79,2,berantas korupsi kota batu periksa anggota perangkat desa audit data warga masyarakat kota batu moga nur hely lindung allah swt,-3,Negatif
2025-03-05,09:05:00,mujiati301,2,lurah lurah sisir sampah surih nimbang rumit buang sampah,-5,Negatif
2025-03-08,13:33:00,yunidwi099,1,selamat benah kota batu salam saking kekep,0,Netral
2025-03-08,16:44:00,dualapansatuu,1,monieskeroncong produk asli batu,2,Positif
2025-03-08,22:44:00,dekenganele,1,nedi tolong orang batu anak muda buka lapang kerja nganggur lulus sekolah terima kasih ya,3,Positif
2025-03-09,06:23:00,hasyim.arkanza,1,mohon perhati ya harga pupuk obat tanam benah biar tani batu hidup makmur matur suwon,2,Positif
2025-03-05,22:39:00,novaabraham7,1,moga amanah pihak rakyat amin,1,Positif
2025-03-06,04:26:00,kodewsinam88,1,assalamualaikum wali moga program subsidi rumah murah warga kota batu,2,Positif
2025-07-08,21:06:00,yuliani_bl,1,selamat malam lampu jalan jl trunojoyo songgokerto jl flamboyan arah pom bensin mati barusan celaka tunggal jalan gelap kendara pelosok tabrak pohon mohon tindak lanjut korban terima kasih,-4,Negatif
2025-03-09,17:39:00,mochamadnoercahyo,1,mohon solusi driver ojek online mikrolet gratis pelajaruntuk driver ojol pengaruh mikrolet gratissepi,2,Positif
2025-03-09,19:20:00,idafitriani090,1,umur sehat wali lancar barokah tugas rakyat makmur gemah ripah lohjinawi,0,Netral
2025-03-10,15:52:00,jorcy.mark,1,orang batu kritik sinergi budaya orang batu kritik manja gotong royong salam batu sae,-2,Negatif
2025-03-10,23:31:00,afdhal8561,1,semangat wali walikota wakil ckk nur saejoooos batu depan moga batu guru angkat pegawai,4,Positif
2025-03-11,04:52:00,dwikaryawati345,1,sehat semangat,0,Netral
2025-03-11,22:11:00,ilyasnazaruddin,1,salam santun bpk nurokhman bpk helli moga batu maju,1,Positif
2025-03-11,22:23:00,aidanazakhi,1,selamat jalan tugas bpk walisalam bolo bumiaji,0,Netral
2025-03-12,04:18:00,vendy.bams87,1,wali tolong pasar batu adakan tonton bareng timnas biar warga senang timnas e sae,-1,Negatif
2025-03-14,20:14:00,user5721281861305,1,sukses amanah kota batu sae wal,1,Positif
2025-03-18,15:01:00,edy0161,1,kolaborasi pas batu maju,1,Positif
2025-03-18,18:21:00,user324143387062kus,1,sehat walikota wawali kota batu,-1,Negatif
2025-03-18,18:37:00,andinipakdhetirto,1,jalan masuk kampung nyapa warga,-1,Negatif
2025-03-19,17:54:00,mbahuthi875,1,wali mohon tinjau sampah pasar among tani lindi sampah alir mukim warga pasar tepat rt rw terimakasih,0,Netral
2025-03-25,07:17:00,oneng.onyos,1,contoh pilih walikota asli pribumi makmur warga moga amanah walirakyat dukung progamu rakyat,4,Positif
2025-05-25,09:33:00,ahmadalsodiq,1,mohon ijin argumen warga tulungrejo bumiaji emis minta sumbang rumah rumah warga mohon tertib resah kemarin kasih nominal marahtakutnya ancam keamanankalo seluruh wilayah kota batu kerah tertib moga timbang terimakasih,-1,Negatif
2025-04-29,14:45:00,purwancangar,1,wali,0,Netral
2025-05-07,09:33:00,hariani2928,1,alhamdulillaaaah wali wakil kota batu sukses sehat sukses kota batu sae,0,Netral
2025-06-08,12:11:00,ariejayanti,1,sehat wali kota wali kota terhebatkuh,-2,Negatif
2025-03-27,05:49:00,lusianaana779,1,lupa juang didik paud kota batu,-1,Negatif
2025-03-05,08:58:00,adam.alfatih868,1,selamat tugas semangat jalan ibadah puasa,0,Netral
2025-03-05,18:54:00,ernay.aja,1,semangaaat wali,0,Netral
2025-03-05,15:25:00,bonitasutanto,1,semangat wali,0,Netral
2025-03-05,11:28:00,yanisujiati2,1,selamat wawali,1,Positif
2025-03-05,09:16:00,annamirohkotabatu,0,mantap nur,1,Positif
2025-03-05,18:54:00,denmasureh,1,semangat wali,0,Netral
2025-03-05,12:16:00,entubtawon16,1,safari ramadhan,0,Netral
2025-03-05,14:48:00,nurjanah_hhh,1,semangat selamat juang lupa rakyat,1,Positif
2025-03-05,21:13:00,aivo_reyka,1,selamat tugas nur mas helisalam hangat tenaga honda pksemoga honda r temu njenengan sehat pasang sae,3,Positif
2025-03-05,11:52:00,mujiatiimam25,1,moga amanah bpk wali kota batu,1,Positif
2025-03-18,15:12:00,taumbethik,0,bpk wali kota kota batu hormat tolong jaga adil sosial rakyat batu tebang pilih ya,-1,Negatif
2025-03-05,12:42:00,sier6431,0,ayo wali bangun lapang standar nasional desa,1,Positif
2025-05-02,07:05:00,tatikutamj67,7,mantap mas helli perhati rakyat salut,1,Positif
2025-06-21,17:10:00,ayu9802,1,sae hely,0,Netral
2025-05-07,08:51:00,jonojono316,2,moga tata kota batu belanjut trotoar pojok wisma kereta api jlnhassanudin jlnsuropati terimah kasih,-1,Negatif
2025-05-09,09:31:00,rinyrizki30,1,riny rizkibagaimana pkl gusur satpol pp jual minggir bakul sempol masjid annur jalan masuk kaum kampanye ya bantu umkm timur toko amal,3,Positif
2025-06-18,17:11:00,youngkiii_,0,anak ya gantengcantik lucu,0,Netral
2025-05-04,13:09:00,hariani2928,1,hebat helly sabar sae moga sehat hely,2,Positif
2025-06-16,14:20:00,irvinia01111992,2,lahor dana buka usaha,1,Positif
2025-05-04,14:29:00,cerita.lilyyoga,2,disabilitas tau teman disabilitas,-1,Negatif
2025-05-03,13:31:00,buksrijarwo,0,mantap,1,Positif
2025-05-02,10:29:00,arnti23,1,semangat heli,0,Netral
2025-05-05,13:17:00,sakulcaemflorist,1,mantaaaaap,0,Netral
2025-05-02,21:29:00,teguhsutarno101,1,lanjut,0,Netral
2025-05-02,12:25:00,4m1n_s,1,sae mas hely,0,Netral
2025-05-04,10:57:00,hobbynyanyi3,3,moga depan loker disabilitas ya jujur sulit kerja jari tangan normal fungsi ganggu aktifitas apa,2,Positif
2025-05-02,11:24:00,hennysulistyo885,1,semangt mas hely,0,Netral
2025-05-02,09:22:00,bambangsulistiyo783,1,masyaallah sehat unruk,0,Netral
2025-05-03,17:54:00,ismay093,1,mantapsabar banget helly mana tebar baik,1,Positif
2025-05-01,23:11:00,ghffrsmail,1,mantap mas heli,1,Positif
2025-05-03,19:06:00,jonojono316,1,mantap heli,1,Positif
2025-05-19,14:41:00,aisyy000,0,eh nugi anak ya bu pri,0,Netral
2025-05-02,06:06:00,_cikyyr_,2,priciliaa kalyanaarevii,0,Netral
2025-06-05,16:29:00,njun.tok,0,o ruh nangisan menang,0,Netral
2025-05-03,08:05:00,haryleon3,1,lho cak sih topi kuning kaos merah masuk dinsos cak siono,-3,Negatif
2025-05-02,04:14:00,rumahmalang_,1,mantap mas heli,1,Positif
2025-05-02,06:45:00,bibi75281,1,batu sae,0,Netral
2025-06-07,16:53:00,raaa44966,0,batu sae,0,Netral
2025-07-20,10:27:00,mahe_hendra,3,asset mandi air panas mandi kolam renang pegang kab malang songgoriti moga ambil alih pemkot batu biar songgoriti rame songgoriti icon batu,-3,Negatif
2025-07-20,08:17:00,pr4dhita,1,didik tolong kotak kabupaten kota,-2,Negatif
2025-07-20,04:36:00,estellertersayangg,1,ngeriii moga sukses,2,Positif
2025-07-22,20:09:00,rubiani71,1,mantap batu pimpin fleksibel saeeeeeeeeee,1,Positif
2025-07-20,03:30:00,kurirshinyo,1,sae batu,0,Netral
2025-07-15,12:25:00,nothing417_,14,alumni bimasakti kulo,0,Netral
2025-07-17,16:07:00,najwakamala,4,moga solusi anak putus sekolah,2,Positif
2025-07-18,17:54:00,karmavillain,1,lhaa tau tau pasuk anak,-3,Negatif
2025-07-17,13:21:00,meflsdh,2,program bagus moga dinsos sasar anak anak masuk sekolah rakyat,-1,Negatif
2025-07-15,11:58:00,ortimusmira79,8,mantap moga sesuai tuju cerdas anak bangsa,2,Positif
2025-07-15,19:44:00,jumari8867,2,moga ajar betah kabur ya,1,Positif
2025-07-17,12:27:00,mr.head10,0,mantab,0,Netral
2025-07-16,08:30:00,alfarezel.andaru,3,anak ku pengin sekolah,0,Netral
2025-07-15,21:42:00,ninik.jawe,1,sip,0,Netral
2025-07-18,18:51:00,bridneyyo,2,seccslfaa,0,Netral
2025-05-03,17:45:00,lilik.sofiana,0,batu sae,0,Netral
2025-07-22,07:17:00,okky_andrianfernanda,0,horeg ruwet selai boleh ruwet hibur wargane,-1,Negatif
2025-05-25,09:32:00,ahmadalsodiq,1,mohon ijin argumen warga tulungrejo bumiaji emis minta sumbang rumah rumah warga mohon tertib resah kemarin kasih nominal marah takut ancam aman seluruh wilayah kota batu kerah tertib moga timbang terimakasih,-2,Negatif
2025-04-17,08:18:00,hermantwow,0,saeeeeeee wes,0,Netral
2025-04-03,22:27:00,wedangpokak,1,moga cak nur mas heli lindung allah swt bawa masyarakat batu manfaat martabat amin yra,5,Positif
2025-04-05,12:00:00,jezztik6,1,komando,0,Netral
2025-04-07,22:47:00,mrs_no_bodys,1,nyala bpk walikota ku,0,Netral
2025-04-04,07:04:00,fikri.thalib,1,mantaaaaaaaapppp,0,Netral
2025-04-05,12:16:00,mbahbasori8,1,sehat wali wawali,0,Netral
2025-04-03,19:30:00,bambangsulistiyo783,1,mugo istikamah bangun batu sae,0,Netral
2025-04-04,00:49:00,fikroenz,0,bismillah cak wali moga bahu bahu bangun kota batu batu dewe tagar kad kepala dinas visi misiselain visi misi kepala daerah batu all out,2,Positif
2024-11-01,12:48:00,lylia_gadis,1,pambangunan jaring jalan kak objek wisata ngadukung akses warga alam,2,Positif
2024-11-01,13:11:00,zaula_amijah37,0,dunia pandang presiden jokowi pimpin visioner proaktif,2,Positif
2024-11-01,12:55:00,marlina_kauri5,0,bangun jalan tol dorong tumbuh ekonomi daerah,0,Netral
2024-11-01,12:58:00,jessica_sitompul3,0,infrastruktur hubung modern cepat akses masyarakat layan publik sehat,2,Positif
2024-11-01,12:59:00,dito_wardana9,0,internet cepat dorong tingkat produktivitas bisnis,2,Positif
2024-11-01,13:00:00,janet_lstrari3,0,infrastruktur picu tumbuh sektor konstruksi manufaktur,0,Netral
2024-11-01,13:01:00,raziq_cadi93,0,pimpin presiden jokowi bawa ubah bangun infrastruktur indonesia,1,Positif
2024-11-01,13:03:00,devi_elina1,0,jaring telekomunikasi kuat ngadukung transformasi bisnis,2,Positif
2024-11-01,13:05:00,kayla_hifzah22,0,bangun infrastruktur tingkat daya saing indonesia dunia internasional,1,Positif
2024-11-01,13:07:00,bunga.ida,0,jokowi visi keras infrastruktur bikin bangga deh,2,Positif
2024-11-01,13:07:00,dimaz_alvian,0,bangun transportasi dampak positif mobilitas duduk,0,Netral
2024-11-01,13:08:00,winda_hndyn,0,mantap nih infrastruktur bikin indonesia on the map,1,Positif
2024-11-01,13:09:00,ikhsan_afiansyah,0,infrastruktur dukung manfaat energi baru bangun lanjut,3,Positif
2024-11-01,12:55:00,faruq_rayyan,0,adat suku indonesia karya abang negara indonesia,1,Positif
2024-11-01,13:13:00,dzikry_rahwanaa,0,jalan raya modern kurang jalan macet lintas,0,Netral
2024-11-01,13:14:00,zizi_hstuti8,0,jaring transportasi dukung konektivitas regional,2,Positif
2024-11-01,13:15:00,nafi_aziz,0,warga manokwari dukung program bangun infrastruktur indonesia,1,Positif
2024-11-01,13:19:00,hana_farida55,0,pambangunan jalan lingkar ngurangan beban lintas pusat kota,-2,Negatif
2024-11-01,13:21:00,syahrul_ryan,0,program infra jokowi bikin relevant dunia,0,Netral
2024-11-01,13:27:00,rani_idaa,0,infrastruktur anu mumpuni ngadukung pangembangan industri manufaktur,-1,Negatif
2024-11-01,15:11:00,ivan_sauqii,0,infrastruktur pada tingkat konektivitas wilayah,0,Netral
2024-11-01,15:47:00,ayna_zakary,0,infrastruktur pintar smart infrastructure ngalakukeun kamandirian ku sistem anu hengkang energi,-2,Negatif
2024-11-01,17:38:00,murni_saharuu,0,jokowi presiden indonesia hitung mata dunia prestasi maju infrastruktur,1,Positif
2024-11-01,18:05:00,jinawi_kuswoyo,0,infra jokowi fondasi kuat bangun,0,Netral
2024-11-01,18:24:00,xandraya_briana,0,jokowi erti banget ngebutin bangun,1,Positif
2024-11-01,19:06:00,xena_odelia,0,jaring pipa gas jeung listrik ngurangan katergantungan kak sumber energi khusus,1,Positif
2024-11-01,12:46:00,ricard_nandaa,0,jalan tol bikin move on move up,0,Netral
2024-11-01,12:30:00,bambang_w875,0,jaring pipa distribusi minyak tingkat tahan energi,4,Positif
2024-11-01,12:31:00,lea_wanda25,0,infrastruktur anu kuat ngabantu akses didik pikeun,0,Netral
2024-11-01,12:33:00,restu_nurainii,0,pambangunan sarana olahraga ngajantenkeun pangembangan olahraga jeung prestasi,0,Netral
2025-02-19,05:57:00,heeyyviitt,6,ponpes berita benar ponpes pelakune kongsi nutup biar upload,-1,Negatif
2025-02-21,20:39:00,misterwonk,0,oalah,0,Netral
2025-02-19,16:09:00,user1018782763930,0,media abang,0,Netral
2025-02-18,22:10:00,handbucket,0,sembunyi wajahe,0,Netral
2025-02-18,21:45:00,indonesiaupdate00,0,info kronologi,-2,Negatif
2025-02-19,02:49:00,venuzarya,3,maaf update utuk takut berita jelek sebar berita takut berita jelek manfaat laku,-4,Negatif
2025-02-20,10:36:00,shuliest1,0,diam mengamatikualat ah,0,Netral
2025-02-19,09:31:00,hadilestari.yono,0,lhaainillaahyg buat bikin rusak citra wartawanlanjut komandanjoss polres batu,2,Positif
2025-07-16,14:44:00,ismedddd,5,jalan parkirandipenuhin parkir bisasebenernya jalan lapang parkirapa,2,Positif
2025-07-15,22:26:00,alghifar.99,101,banyak pkl alun orang batu,0,Netral
2025-07-16,00:43:00,sugiantosugiant537,20,perintah bikin atur parkir gratis josss,2,Positif
2025-07-16,15:51:00,urstrongwomen_,3,kang parkir takut pasu kurang,0,Netral
2025-07-16,09:54:00,57homestay,6,gate parkir asai isi titik titik,-1,Negatif
2025-07-15,21:58:00,omatutty,97,parkir kota batu resah,-1,Negatif
2025-07-16,05:00:00,marnissdmyo,7,parkir karcis lecet pakai bolak,0,Netral
2025-07-16,05:39:00,siti15432,3,batu parkirdi parkir,1,Positif
2025-07-16,04:11:00,bukucepatmembaca,3,rapi disiplin kayak pasar batu,0,Netral
2025-07-16,11:28:00,el_yg04,3,gate parkir pas dekat raya parkir ya ribu parkir batu alun paradise ribu karcis kadang kasih kadang,7,Positif
2025-07-17,11:05:00,binayudawanto,1,kuasa jalanantukan jual gerobak tukang parkir numpang cari rejekimalah sepi tarik parkir,1,Positif
2025-07-16,22:40:00,audam5758,0,enak parkir ganesa full jual bts jadi solusi,3,Positif
2025-07-16,08:54:00,ruby.arindi,0,tulisane kasi dkembalikan ribu kali udahan,-2,Negatif
2025-07-16,19:39:00,infosonggoriti,1,numpang simak,0,Netral
2025-07-16,09:54:00,kajangbike47,1,tuju gate biar tertib tung jukir kelad sesuai tentu,0,Netral
2025-07-16,08:34:00,sulungmaulana6,1,henti parkir henti parkirmau beli krupuk kadang batu parahkok kayak kerja parkir kreatif,2,Positif
2025-07-16,11:43:00,nani_bns,0,parkir gate kawasan elit belanja nrb atas belanja beli bakso ribu beli gado ribu bayar parkir gate masarakat bwah kayak berat,0,Netral
2025-07-16,12:34:00,febrynasugianto,1,pakai stiker kayak masuk kampus jukir gaji pemkot khusus warga batu warga batu bayar parkir pakai qris scan barcode nakal lek nakal ganti barcode ya ancene nenen,-2,Negatif
2025-07-16,06:23:00,aku.anak.indo4,1,malas libur batudulu favorit tuju liburansekarang skip,0,Netral
2025-07-16,05:55:00,salis.yanuarso,0,mending parkir elektronikminimalis bocor,0,Netral
2025-07-18,12:26:00,sri.maheswari7,0,terah alun batu semrawutt,0,Netral
2025-07-18,16:04:00,satriya.hery,0,tuju pakai gate parkir lanjuk dishub,1,Positif
2025-07-17,12:59:00,jojon.jonow,0,buang parkir liar pinggir dal utama batos pom lahor asai parkir liar mandek sal menit tarik parkirora parkir an patek en parkir seng ndek trtentu ora kabeh harap toko tunggoni kang parkir tukang parkir langsung mara warung toko sepi banyak orang ogah beli tukang parkir,0,Netral
2025-07-16,11:20:00,cylvnazy,0,novan wingiii,0,Netral
2025-07-16,01:33:00,roy.robet6,0,mamsky,0,Netral
2025-07-19,14:07:00,sudiono8443,0,malumalu semboyan e batu sae,1,Positif
2025-07-16,20:22:00,lailatul8181,0,kerja orang damang parkir ya enak rebut ganti orang laki laki suruh sawah daster lo biar uang,2,Positif
2025-07-19,14:05:00,sudiono8443,0,kayak jogja parkir e pemda kalah kira karcis,-1,Negatif
2025-07-18,15:09:00,quietandsilent__,0,pakai gate,0,Netral
2025-05-02,20:06:00,user8813100981185,0,salam sehat semangat nur helibatu sae ada gebrak didik kota batu turun akhlak anak,-1,Negatif
2025-06-03,20:01:00,oktevabusokte,0,uburubur ikan lele terima simbolis,1,Positif
2025-03-07,11:07:00,anis.dyah,0,selamat ulang bapak kota batu sehat,0,Netral
2025-03-23,21:07:00,wawankurniawan4924,0,semangat kerja p nur rohmah,1,Positif
2025-03-10,07:29:00,endangninok,0,selamat p walikota batu semangat,1,Positif
2025-03-07,13:14:00,ber3254,0,semangat sahabat sukses,1,Positif
2025-03-10,09:25:00,renymamazahra,0,selamat bpk nur bpk heli walikota batu wakil walikota batu selamat tugas moga amanah mohon rakyat kota ada rumah kpr subsidi perintah mohon maaf terimakasih,4,Positif
2025-03-08,09:26:00,ronibatu18,0,sae cak,0,Netral
2025-03-06,17:47:00,ray06307,0,sehat semangat booosku,0,Netral
2025-03-05,10:11:00,kusyarnik,1,semangat moga lindung allah swt amin allahumma amin,3,Positif
2025-03-05,09:38:00,muhaiminelly,1,moga mudah lancar pimpin kota batu,0,Netral
2025-03-05,11:46:00,mones035,1,selamat jabat paksemoga amanah,1,Positif
2025-03-05,18:46:00,wiwinchyankzuly,1,selamat menjalankn amanah masyarakat kota batu moga batu ubah moga msyarakat sejahtera,3,Positif
2025-03-06,20:03:00,iniawiw.id,0,tolong pasar among tani evaluasi tata rame kayak,-1,Negatif
2025-03-06,06:01:00,enipeni142,0,nur heli selamat tugas rakyat kota batu moga makmur damai aman sejahtera,1,Positif
2025-03-06,16:22:00,kutmiarsihbatu,0,semangat bapak,0,Netral
2025-03-05,10:00:00,bintang.apel.kwb,0,akhamdulilah kursi panglima tingi kota batu kabul keluh putro daerah,0,Netral
2025-03-06,10:29:00,andikabudii,0,buka lapang kerja balaikota biar orang kota batu kerja situ,2,Positif
2025-03-07,10:57:00,iirrssyyaa_,0,moga dengar keluh kesah tani ternak harga sayur murah moga solusi depan tani ternak kota batu,5,Positif
2025-03-07,07:48:00,denbrotoardillando,0,moga amanah walikota kota batu lindung allah swt amin,3,Positif
2025-03-06,05:50:00,sulistyo.wati46,0,selamat tugas moga amanah amin,2,Positif
2025-04-03,21:00:00,karnisusiyatin,0,semangat cowok wali mal aidin walfaidzin,0,Netral
2025-03-10,13:50:00,mirzarema,0,bangga bahagia,1,Positif
2025-04-02,00:42:00,tatikt03,0,alhamdulillah orang batu asli ahkirnya wali kota senang moga amanah adil jujur sehat engah cak nur batu sae pegang yra,2,Positif
2025-03-12,21:10:00,den.gus6,0,tolong,0,Netral
2025-03-07,10:18:00,user981811566345,0,walikota wakil wali kota moga amanah rendah hati selamat tugas,0,Netral
2025-03-05,10:03:00,70kus,0,sht semangat,0,Netral
2025-03-05,14:20:00,supartisuparti811,0,alhamdulillahmantaaappppak wali sehat eggeh semangat,0,Netral
2025-03-05,10:54:00,yanti16288,0,selamat karya bpk walikota sehat senantiasa berkah allah,4,Positif
2025-06-27,14:28:00,iisbt8,0,sukses wali,1,Positif
2025-05-04,12:46:00,kusyarnik,0,nyala pakai heli batu sae,0,Netral
2024-11-01,12:33:00,qairen_zahrani,0,infrastruktur listrik handal dukung kembang sektor industri,2,Positif
2024-11-01,12:35:00,ria_umaya,0,jokowi hitung bangun infrastruktur daerah sejahtera masyarakat indonesia,1,Positif
2024-11-01,12:35:00,gamani_waluyo5,0,jokowi juara infrastruktur bikin indonesia unggul,0,Netral
2024-11-01,12:38:00,lutfi_hasan8,0,pambangunan fasilitas rekreasi ngabantukeun kualitas kahirupan masyarakat,1,Positif
2024-11-01,12:38:00,ryan_tristan0,0,infra jokowi bikin aware maju,0,Netral
2024-11-01,12:40:00,juan_adryan5,0,labuh modern dorong ekspor impor lancar,2,Positif
2024-11-01,12:41:00,zahra_pputri13,0,jokowi benar mainmain bikin infrastruktur mantap,1,Positif
2024-11-01,12:42:00,putri_aidar,0,internet cepat dorong kembang sektor tani,1,Positif
2024-11-01,12:45:00,tirta_yudaa,0,infrastruktur kualitas dorong kembang sektor pariwisata,2,Positif
2024-11-01,12:55:00,jgpti_krnwn1,0,infrastruktur dorong tumbuh ekonomi lanjut,0,Netral
2024-11-01,12:46:00,elvi_sutiasih,0,infrastruktur dukung inovasi teknologi teliti,2,Positif
2024-11-01,12:46:00,darel_wahyudi,0,bangun infrastruktur pesat modal indonesia saing negaranegara maju dunia,0,Netral
2024-11-01,12:46:00,tirtayasa_shtn9,0,investasi dina infrastruktur ngadukung pangembangan desa jeung desa,-1,Negatif
2024-11-01,12:48:00,kani_hasanahh,0,program cepat infra bikin trendy,0,Netral
2024-11-01,12:49:00,vega_januar0,0,jokowi bikin infra bikin daya,0,Netral
2024-11-01,12:50:00,rahmat_saimima,0,infrastruktur teknologi ngadukung pangembangan technologi jeung inovasi,1,Positif
2024-11-01,12:52:00,wawan_sulaiman4,0,infrastruktur anu mantap ngadukung kapasitas ekspor jeung impor,1,Positif
2024-11-01,12:52:00,darma_dwi9,0,program cepat infra bikin indonesia booming,0,Netral
2024-11-01,12:54:00,erlyta_arsyfaa1,0,keren indonesia kebut bangun,0,Netral
2024-11-01,12:54:00,achira_tahina,0,infrastruktur dukung tumbuh ekonomi lanjut,1,Positif
2024-11-01,12:20:00,sarif_komarudin1,0,jokowi fokus banget bikin infra manfaat,2,Positif
2025-03-06,04:59:00,andikjunaedi0,0,semangat wali,0,Netral
2025-03-10,13:02:00,kak_vira,0,ikan paus ikan gabus silaturahmi putus seratuss,0,Netral
2025-07-21,12:37:00,irvans_syam,0,ibuibu omong bapak parkir ibu bersosialita,0,Netral
2025-07-16,11:37:00,yahman_har,0,mangkane rebut parkir,1,Positif
2025-07-16,00:13:00,my.1808,1,tarif parkir weekday weekend beda,0,Netral
